hospital_id,NO_FANTASIA,NO_LOGRADOURO,Unnamed: 3,EMPRESA_RESP_PSA,EMPRESA_RESP_PSI,EMPRESA_RESP_UTIA,EMPRESA_RESP_UTIPED,EMPRESA_RESP_ANESTESIA,EMPRESA_RESP_UIA,EMPRESA_RESP_UIP,NO_BAIRRO,NU_ENDERECO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE
1,HOSPITAL SANCTA MAGGIORE,RUA JUAGUARIBE,,,,,,,,,VILA BUARQUE,144,1224000,40859000,-23.541.447,-466.515.815
2,HOSPITAL KATIA DE SOUZA RODRIGUES TAIPASSP SAO PAULO,AV ELISIO TEIXEIRA LEITE,,,,,,,,,PARADA DE TAIPAS,6999,2810000,(11) 39730492,-234.442,-467.179
3,HOSPITAL DE TRANSP DO EST DE SP EURYCLIDES DE JESUS ZERBINI,AV BRIGADEIRO LUIZ ANTONIO,,,,,,,,,JARDIM PAULISTA,2651,1401901,(11) 3170-6329,-23.548,-46.636
4,CASA DE DAVID SAO PAULO,RODOVIA FERNAO DIAS,,,,,,,,,PARQUE EDU CHAVES,82,2284000,(11) 2453-6600,-23.548,-46.636
5,SANTA CASA DE SAO PAULO HOSPITAL CENTRAL SAO PAULO,RUA DR CESARIO MOTA JUNIOR,,,,,,,,,VILA BUARQUE,112,1221020,(11) 2176-7000,-23.548,-46.636
6,HOSP MUN FERNANDO MAURO PIRES DA ROCHA,ESTRADA DE ITAPECERICA,,,,,,,,,CAMPO LIMPO,1661,5835005,(11)33947460,-23.648.374,-4.674.881
7,HOSPITAL UNIVERSITARIO DA USP SAO PAULO,AV PROF LINEU PRESTES,,,,,,,,,BUTANTA,2565,5580000,(11) 3091-9316,-23.548,-46.636
8,HOSP MUN JOSANIAS CASTANHA BRAGA,RUA EUZEBIO COGHI,,nan,nan,nan,nan,nan,nan,nan,JARDIM ROSCHEL,841,4883290,,-238.264.629,-467.305.962
9,HOSPITAL SAINT PETER,RUA ESTADO DE ISRAEL,,,,,,,,,VILA CLEMENTINO,747,4022002,59048100,-23.548,-46.636
10,HOSPITAL BDW SP,DOS BANDEIRANTES,,,,,,,,,VILA OLIMPIA,679,4553010,51 35008959,-235.983.622,-466.889.967
11,IMPAR SERVICOS HOSPITALARES FILIAL SANTA PAULA,AVENIDA SANTO AMARO,,,,,,,,,BROOKLIN PAULISTA,2468,4556901,11 30408008,-23.605.637,-4.667.594.421.600.990
12,CLINICA SPATIIUM,RUA JOSE ANTONIO COELHO,,,,,,,,,VILA MARIANA,416,4011061,38844080,-23.548,-46.636
13,INSTITUTO DO CANCER ARNALDO VIEIRA DE CARVALHO,RUA DR CESARIO MOTA JUNIOR,,,,,,,,,VILA BUARQUE,112,1221020,(11) 3367-3844,-235.431.724,-4.664.990.518.769.830
